Black,Blue,Brown,Green,Greenyellow,Magenta,Pink,Purple,Red,Tan,Turquoise,Yellow
,Frmd5,,,,,,,,,Commd6,
,Frmpd3,,,,,,,,,Commd8,
,Fryl,,,,,,,,,Comt,
,Fstl1,,,,,,,,,Copa,
,Fth-ps2,,,,,,,,,Copb1,
,Fth-ps3,,,,,,,,,Copb2,
,Ftsj1,,,,,,,,,Cope,
,Ftsj3,,,,,,,,,Copg2,
,Ftx,,,,,,,,,Cops2,
,Fubp3,,,,,,,,,Cops4,
,Fuca1,,,,,,,,,Cops5,
,Fut8,,,,,,,,,Cops6,
,Fut9,,,,,,,,,Cops7a,
,Fuz,,,,,,,,,Cops8,
,Fxr1,,,,,,,,,Copz1,
,Fxyd1,,,,,,,,,Coq10a,
,Fxyd5,,,,,,,,,Coq10b,
,Fyb,,,,,,,,,Coq2,
,Fyco1,,,,,,,,,Coq4,
,G6pdx,,,,,,,,,Coq5,
,Gabarap,,,,,,,,,Coq7,
,Gabarapl2,,,,,,,,,Coq8a,
,Gabpa,,,,,,,,,Coq9,
,Gabrb2,,,,,,,,,Coro1a,
,Gabrg3,,,,,,,,,Coro1c,
,Gad1,,,,,,,,,Coro2b,
,Gad2,,,,,,,,,Coro7,
,Gadd45g,,,,,,,,,Cort,
,Galc,,,,,,,,,Cotl1,
,Galnt1,,,,,,,,,Cox10,
,Galnt11,,,,,,,,,Cox14,
,Galnt13,,,,,,,,,Cox17,
,Galnt14,,,,,,,,,Cox18,
,Gamt,,,,,,,,,Cox19,
,Gan,,,,,,,,,Cpeb1,
,Garnl3,,,,,,,,,Cpeb4,
,Gatad2a,,,,,,,,,Cplx2,
,Gatb,,,,,,,,,Cpne4,
,Gatc,,,,,,,,,Cpne5,
,Gatsl2,,,,,,,,,Cpne6,
,Gbe1,,,,,,,,,Cpne7,
,Gca,,,,,,,,,Cpne8,
,Gcat,,,,,,,,,Cpsf1,
,Gcdh,,,,,,,,,Cpsf2,
,Gclm,,,,,,,,,Cpsf3,
,Gcsh,,,,,,,,,Cpsf6,
,Gdap2,,,,,,,,,Cpt1c,
,Gdf11,,,,,,,,,Crbn,
,Gemin5,,,,,,,,,Crcp,
,Gemin7,,,,,,,,,Creb1,
,Gfm1,,,,,,,,,Creb3,
,Gfm2,,,,,,,,,Crebbp,
,Gfod2,,,,,,,,,Crebzf,
,Gfpt1,,,,,,,,,Creg2,
,Gfra1,,,,,,,,,Creld1,
,Ggact,,,,,,,,,Crem,
,Ggh,,,,,,,,,Crhbp,
,Ghrhr,,,,,,,,,Crip2,
,Gid4,,,,,,,,,Cript,
,Gigyf2,,,,,,,,,Crk,
,Ginm1,,,,,,,,,Crls1,
,Gins4,,,,,,,,,Crmp1,
,Gipc1,,,,,,,,,Crtac1,
,Git2,,,,,,,,,Crtc1,
,Gkap1,,,,,,,,,Cry1,
,Glg1,,,,,,,,,Cry2,
,Glmn,,,,,,,,,Crym,
,Glod4,,,,,,,,,Cryzl1,
,Gls2,,,,,,,,,Cse1l,
,Glt8d1,,,,,,,,,Csgalnact1,
,Gm10012,,,,,,,,,Csmd1,
,Gm10029,,,,,,,,,Csmd2,
,Gm10033,,,,,,,,,Csnk1a1,
,Gm10051,,,,,,,,,Csnk1d,
,Gm10136,,,,,,,,,Csnk1e,
,Gm10175,,,,,,,,,Csnk1g1,
,Gm10222,,,,,,,,,Csnk1g3,
,Gm10224,,,,,,,,,Csnk2a1,
,Gm10237,,,,,,,,,Csnk2a2,
,Gm10243,,,,,,,,,Csnk2b,
,Gm10247,,,,,,,,,Cspg5,
,Gm10250,,,,,,,,,Csrnp2,
,Gm10260,,,,,,,,,Csrnp3,
,Gm10268,,,,,,,,,Cstf1,
,Gm10269,,,,,,,,,Cstf2t,
,Gm10273,,,,,,,,,Ctc1,
,Gm10335,,,,,,,,,Ctcf,
,Gm10420,,,,,,,,,Ctdnep1,
,Gm11263,,,,,,,,,Ctdspl,
,Gm11281,,,,,,,,,Ctnna2,
,Gm11285,,,,,,,,,Ctps2,
,Gm11353,,,,,,,,,Ctsf,
,Gm11361,,,,,,,,,Cttn,
,Gm11408,,,,,,,,,Cttnbp2,
,Gm11478,,,,,,,,,Ctxn1,
,Gm11517,,,,,,,,,Cul1,
,Gm11539,,,,,,,,,Cul3,
,Gm11575,,,,,,,,,Cul4a,
,Gm11604,,,,,,,,,Cul5,
,Gm11619,,,,,,,,,Cul9,
,Gm11631,,,,,,,,,Cux1,
,Gm11633,,,,,,,,,Cwc15,
,Gm11759,,,,,,,,,Cxcl12,
,Gm11808,,,,,,,,,Cxxc1,
,Gm11810,,,,,,,,,Cxxc5,
,Gm11826,,,,,,,,,Cyb561,
,Gm11930,,,,,,,,,Cyb561d1,
,Gm11966,,,,,,,,,Cyb5b,
,Gm11970,,,,,,,,,Cyb5r3,
,Gm11972,,,,,,,,,Cyb5r4,
,Gm11989,,,,,,,,,Cyfip2,
,Gm12005,,,,,,,,,Cyld,
,Gm12038,,,,,,,,,Cyp7b1,
,Gm12094,,,,,,,,,Cystm1,
,Gm12110,,,,,,,,,Cyth2,
,Gm12174,,,,,,,,,Cyth3,
,Gm12183,,,,,,,,,D030056L22Rik,
,Gm12184,,,,,,,,,D10Jhu81e,
,Gm12230,,,,,,,,,D17Wsu92e,
,Gm12242,,,,,,,,,D1Ertd622e,
,Gm12254,,,,,,,,,D230025D16Rik,
,Gm12338,,,,,,,,,D2Bwg1423e,
,Gm12341,,,,,,,,,D430019H16Rik,
,Gm12346,,,,,,,,,D430041D05Rik,
,Gm12396,,,,,,,,,D5Ertd579e,
,Gm12411,,,,,,,,,D6Wsu163e,
,Gm12421,,,,,,,,,D8Ertd738e,
,Gm12504,,,,,,,,,Dab1,
,Gm12643,,,,,,,,,Dact2,
,Gm12732,,,,,,,,,Dact3,
,Gm12778,,,,,,,,,Dad1,
,Gm12816,,,,,,,,,Dag1,
,Gm12852,,,,,,,,,Dagla,
,Gm12900,,,,,,,,,Daglb,
,Gm12936,,,,,,,,,Dalrd3,
,Gm12944,,,,,,,,,Dap3,
,Gm13015,,,,,,,,,Dapk1,
,Gm13132,,,,,,,,,Dapk3,
,Gm13205,,,,,,,,,Dars,
,Gm13215,,,,,,,,,Dars2,
,Gm13216,,,,,,,,,Dazap1,
,Gm13226,,,,,,,,,Dazap2,
,Gm13268,,,,,,,,,Dbn1,
,Gm13321,,,,,,,,,Dbnl,
,Gm13408,,,,,,,,,Dbp,
,Gm13436,,,,,,,,,Dbpht2,
,Gm13437,,,,,,,,,Dcaf11,
,Gm13532,,,,,,,,,Dcaf12,
,Gm13573,,,,,,,,,Dcaf13,
,Gm13611,,,,,,,,,Dcaf5,
,Gm13622,,,,,,,,,Dcaf6,
,Gm13680,,,,,,,,,Dcaf7,
,Gm13717,,,,,,,,,Dcaf8,
,Gm13750,,,,,,,,,Dcakd,
,Gm13771,,,,,,,,,Dcbld2,
,Gm13777,,,,,,,,,Dck,
,Gm13815,,,,,,,,,Dclk1,
,Gm13827,,,,,,,,,Dclk2,
,Gm13875,,,,,,,,,Dcp2,
,Gm13935,,,,,,,,,Dctn1,
,Gm13981,,,,,,,,,Dctn4,
,Gm14017,,,,,,,,,Dctn5,
,Gm14138,,,,,,,,,Dctn6,
,Gm14165,,,,,,,,,Dctpp1,
,Gm14173,,,,,,,,,Dcun1d1,
,Gm14231,,,,,,,,,Dcun1d4,
,Gm14251,,,,,,,,,Dcun1d5,
,Gm14279,,,,,,,,,Dda1,
,Gm14295,,,,,,,,,Ddhd2,
,Gm14308,,,,,,,,,Ddi2,
,Gm14323,,,,,,,,,Ddit4l,
,Gm14336,,,,,,,,,Ddn,
,Gm14414,,,,,,,,,Ddost,
,Gm14419,,,,,,,,,Ddrgk1,
,Gm14441,,,,,,,,,Ddx1,
,Gm14513,,,,,,,,,Ddx19b,
,Gm14541,,,,,,,,,Ddx39b,
,Gm14585,,,,,,,,,Ddx3x,
,Gm14681,,,,,,,,,Ddx41,
,Gm14794,,,,,,,,,Ddx42,
,Gm14915,,,,,,,,,Ddx46,
,Gm15013,,,,,,,,,Ddx47,
,Gm15148,,,,,,,,,Ddx5,
,Gm15446,,,,,,,,,Ddx50,
,Gm15483,,,,,,,,,Ddx54,
,Gm15500,,,,,,,,,Ddx56,
,Gm15501,,,,,,,,,Deaf1,
,Gm15531,,,,,,,,,Decr2,
,Gm15536,,,,,,,,,Dedd,
,Gm15604,,,,,,,,,Dennd1a,
,Gm15607,,,,,,,,,Dennd5b,
,Gm15661,,,,,,,,,Denr,
,Gm15730,,,,,,,,,Derl1,
,Gm15795,,,,,,,,,Derl2,
,Gm15877,,,,,,,,,Dexi,
,Gm16106,,,,,,,,,Dffa,
,Gm16238,,,,,,,,,Dgat2,
,Gm16286,,,,,,,,,Dgcr14,
,Gm16378,,,,,,,,,Dgcr2,
,Gm16409,,,,,,,,,Dgcr6,
,Gm16412,,,,,,,,,Dgkd,
,Gm16519,,,,,,,,,Dgke,
,Gm16585,,,,,,,,,Dgkz,
,Gm17066,,,,,,,,,Dhcr24,
,Gm17430,,,,,,,,,Dhdds,
,Gm17541,,,,,,,,,Dhodh,
,Gm17994,,,,,,,,,Dhps,
,Gm19243,,,,,,,,,Dhrs7,
,Gm19246,,,,,,,,,Dhrs7b,
,Gm19503,,,,,,,,,Dhx15,
,Gm19620,,,,,,,,,Dhx29,
,Gm19739,,,,,,,,,Dhx30,
,Gm2000,,,,,,,,,Dhx32,
,Gm20072,,,,,,,,,Dhx33,
,Gm20091,,,,,,,,,Dhx36,
,Gm20302,,,,,,,,,Dhx38,
,Gm20620,,,,,,,,,Dhx40,
,Gm20721,,,,,,,,,Dhx57,
,Gm20900,,,,,,,,,Dhx9,
,Gm2115,,,,,,,,,Diaph1,
,Gm21399,,,,,,,,,Dido1,
,Gm2178,,,,,,,,,Dimt1,
,Gm2225,,,,,,,,,Dip2c,
,Gm2367,,,,,,,,,Diras2,
,Gm24265,,,,,,,,,Dirc2,
,Gm24276,,,,,,,,,Dis3l2,
,Gm24447,,,,,,,,,Dkk3,
,Gm24601,,,,,,,,,Dlat,
,Gm24951,,,,,,,,,Dlc1,
,Gm26035,,,,,,,,,Dld,
,Gm26384,,,,,,,,,Dlg1,
,Gm26461,,,,,,,,,Dlg2,
,Gm26631,,,,,,,,,Dlg3,
,Gm26723,,,,,,,,,Dlg4,
,Gm26983,,,,,,,,,Dlgap1,
,Gm27046,,,,,,,,,Dlk2,
,Gm27219,,,,,,,,,Dlst,
,Gm27529,,,,,,,,,Dmap1,
,Gm28530,,,,,,,,,Dmd,
,Gm28911,,,,,,,,,Dmtf1,
,Gm29228,,,,,,,,,Dmtn,
,Gm29257,,,,,,,,,Dmwd,
,Gm3362,,,,,,,,,Dmxl2,
,Gm3608,,,,,,,,,Dnaja3,
,Gm3617,,,,,,,,,Dnaja4,
,Gm36189,,,,,,,,,Dnajb1,
,Gm36378,,,,,,,,,Dnajb11,
,Gm37108,,,,,,,,,Dnajb14,
,Gm37116,,,,,,,,,Dnajb4,
,Gm37494,,,,,,,,,Dnajb5,
,Gm3764,,,,,,,,,Dnajb6,
,Gm3786,,,,,,,,,Dnajb9,
,Gm38022,,,,,,,,,Dnajc10,
,Gm38393,,,,,,,,,Dnajc11,
,Gm39288,,,,,,,,,Dnajc13,
,Gm3940,,,,,,,,,Dnajc14,
,Gm4034,,,,,,,,,Dnajc16,
,Gm4076,,,,,,,,,Dnajc18,
,Gm4149,,,,,,,,,Dnajc19,
,Gm42433,,,,,,,,,Dnajc19-ps,
,Gm42522,,,,,,,,,Dnajc21,
,Gm42845,,,,,,,,,Dnajc30,
,Gm42933,,,,,,,,,Dnajc6,
,Gm4294,,,,,,,,,Dnajc7,
,Gm43028,,,,,,,,,Dnajc8,
,Gm4342,,,,,,,,,Dnajc9,
,Gm43444,,,,,,,,,Dnal4,
,Gm4366,,,,,,,,,Dnlz,
,Gm44261,,,,,,,,,Dnmt1,
,Gm44560,,,,,,,,,Dnpep,
,Gm44609,,,,,,,,,Dnttip1,
,Gm44768,,,,,,,,,Doc2a,
,Gm4525,,,,,,,,,Doc2b,
,Gm45380,,,,,,,,,Dock3,
,Gm45420,,,,,,,,,Dock4,
,Gm45660,,,,,,,,,Dock9,
,Gm4575,,,,,,,,,Dohh,
,Gm45772,,,,,,,,,Dok4,
,Gm45856,,,,,,,,,Dolk,
,Gm4604,,,,,,,,,Dopey2,
,Gm4613,,,,,,,,,Dpf1,
,Gm4734,,,,,,,,,Dph3,
,Gm4761,,,,,,,,,Dph6,
,Gm4832,,,,,,,,,Dpm2,
,Gm4853,,,,,,,,,Dpm3,
,Gm4859,,,,,,,,,Dpp10,
,Gm4929,,,,,,,,,Dpp3,
,Gm4950,,,,,,,,,Dpp6,
,Gm4959,,,,,,,,,Dpp9,
,Gm4963,,,,,,,,,Dpy19l3,
,Gm4986,,,,,,,,,Dpy30,
,Gm4987,,,,,,,,,Dr1,
,Gm5054,,,,,,,,,Dram2,
,Gm5100,,,,,,,,,Drg1,
,Gm5121,,,,,,,,,Drg2,
,Gm5124,,,,,,,,,Drosha,
,Gm5135,,,,,,,,,Drp2,
,Gm5215,,,,,,,,,Dscaml1,
,Gm5239,,,,,,,,,Dstyk,
,Gm5244,,,,,,,,,Dtd1,
,Gm5292,,,,,,,,,Dtnb,
,Gm5312,,,,,,,,,Dtnbp1,
,Gm5321,,,,,,,,,Dtx1,
,Gm5426,,,,,,,,,Dtx3,
,Gm5435,,,,,,,,,Dtymk,
,Gm5451,,,,,,,,,Dus1l,
,Gm5525,,,,,,,,,Dus3l,
,Gm5528,,,,,,,,,Dusp14,
,Gm5564,,,,,,,,,Dusp22,
,Gm5566,,,,,,,,,Dusp6,
,Gm5586,,,,,,,,,Dusp7,
,Gm5614,,,,,,,,,Dusp8,
,Gm5619,,,,,,,,,Dut,
,Gm5620,,,,,,,,,Dvl1,
,Gm5687,,,,,,,,,Dym,
,Gm5745,,,,,,,,,Dync1i2,
,Gm5805,,,,,,,,,Dync1li1,
,Gm5844,,,,,,,,,Dync2li1,
,Gm5857,,,,,,,,,Dynll1,
,Gm5879,,,,,,,,,Dynlt3,
,Gm5944,,,,,,,,,Dyrk2,
,Gm6023,,,,,,,,,Dzip3,
,Gm6028,,,,,,,,,E030024N20Rik,
,Gm6062,,,,,,,,,E2f4,
,Gm6133,,,,,,,,,E330009J07Rik,
,Gm6136,,,,,,,,,Ebp,
,Gm6204,,,,,,,,,Ebpl,
,Gm6210,,,,,,,,,Ecd,
,Gm6274,,,,,,,,,Ech1,
,Gm6285,,,,,,,,,Ecsit,
,Gm6352,,,,,,,,,Edc3,
,Gm6394,,,,,,,,,Edc4,
,Gm6444,,,,,,,,,Eea1,
,Gm6450,,,,,,,,,Eef1akmt1,
,Gm6520,,,,,,,,,Eef1e1,
,Gm6525,,,,,,,,,Efhd2,
,Gm6543,,,,,,,,,Efna3,
,Gm6576,,,,,,,,,Efnb2,
,Gm6654,,,,,,,,,Efr3a,
,Gm6681,,,,,,,,,Eftud2,
,Gm6710,,,,,,,,,Egln2,
,Gm6794,,,,,,,,,Egr1,
,Gm6807,,,,,,,,,Egr4,
,Gm6851,,,,,,,,,Ehbp1,
,Gm6913,,,,,,,,,Ehbp1l1,
,Gm6921,,,,,,,,,Ehd1,
,Gm7027,,,,,,,,,Ehd3,
,Gm7117,,,,,,,,,Ehmt1,
,Gm7285,,,,,,,,,Ehmt2,
,Gm7287,,,,,,,,,Ei24,
,Gm7292,,,,,,,,,Eid1,
,Gm7299,,,,,,,,,Eid2,
,Gm7331,,,,,,,,,Eid2b,
,Gm7380,,,,,,,,,Eif1-ps1,
,Gm7424,,,,,,,,,Eif1a,
,Gm7434,,,,,,,,,Eif1b,
,Gm7482,,,,,,,,,Eif2a,
,Gm7558,,,,,,,,,Eif2ak1,
,Gm7565,,,,,,,,,Eif2b1,
,Gm7600,,,,,,,,,Eif2b2,
,Gm7658,,,,,,,,,Eif2b4,
,Gm7722,,,,,,,,,Eif2b5,
,Gm7730,,,,,,,,,Eif2s1,
,Gm7808,,,,,,,,,Eif2s3x,
,Gm7816,,,,,,,,,Eif3a,
,Gm7857,,,,,,,,,Eif3b,
,Gm7866,,,,,,,,,Eif3d,
,Gm7899,,,,,,,,,Eif3e,
,Gm7901,,,,,,,,,Eif3g,
,Gm8019,,,,,,,,,Eif3h,
,Gm8062,,,,,,,,,Eif3i,
,Gm8145,,,,,,,,,Eif3k,
,Gm8172,,,,,,,,,Eif3l,
,Gm8268,,,,,,,,,Eif4a1,
,Gm8317,,,,,,,,,Eif4b,
,Gm8326,,,,,,,,,Eif4e,
,Gm8399,,,,,,,,,Eif4e2,
,Gm8420,,,,,,,,,Eif4ebp2,
,Gm8430,,,,,,,,,Eif4enif1,
,Gm8444,,,,,,,,,Eif4g1,
,Gm8464,,,,,,,,,Eif4g3,
,Gm8529,,,,,,,,,Eif5a2,
,Gm8606,,,,,,,,,Eif5b,
,Gm8643,,,,,,,,,Eif6,
,Gm8649,,,,,,,,,Elac1,
,Gm8662,,,,,,,,,Elac2,
,Gm8730,,,,,,,,,Elk1,
,Gm8797,,,,,,,,,Elmo2,
,Gm8925,,,,,,,,,Elmod1,
,Gm8973,,,,,,,,,Elob,
,Gm9034,,,,,,,,,Elof1,
,Gm9083,,,,,,,,,Elovl4,
,Gm9104,,,,,,,,,Elp2,
,Gm9143,,,,,,,,,Elp3,
,Gm9294,,,,,,,,,Elp5,
,Gm9354,,,,,,,,,Emc1,
,Gm9385,,,,,,,,,Emc2,
,Gm9409,,,,,,,,,Emc3,
,Gm9457,,,,,,,,,Emc4,
,Gm9625,,,,,,,,,Emc6,
,Gm9644,,,,,,,,,Emc7,
,Gm9719,,,,,,,,,Emc9,
,Gm9780,,,,,,,,,Emg1,
,Gm9794,,,,,,,,,Eml4,
,Gm9800,,,,,,,,,Eml5,
,Gm9892,,,,,,,,,Emsy,
,Gmpr2,,,,,,,,,Enc1,
,Gna13,,,,,,,,,Enoph1,
,Gnai3,,,,,,,,,Enox1,
,Gne,,,,,,,,,Ensa,
,Gng12,,,,,,,,,Entpd6,
,Gng4,,,,,,,,,Eny2,
,Gng5,,,,,,,,,Ep300,
,Gnl2,,,,,,,,,Ep400,
,Gnl3,,,,,,,,,Epb41l1,
,Gnpda2,,,,,,,,,Epc2,
,Gnptg,,,,,,,,,Epdr1,
,Golga1,,,,,,,,,Epg5,
,Golga5,,,,,,,,,Epha10,
,Golga7,,,,,,,,,Epha4,
,Golim4,,,,,,,,,Epha5,
,Golph3l,,,,,,,,,Epha7,
,Golt1b,,,,,,,,,Ephb6,
,Gosr1,,,,,,,,,Ephx2,
,Gp1bb,,,,,,,,,Ephx4,
,Gpatch1,,,,,,,,,Epm2a,
,Gpatch11,,,,,,,,,Epn2,
,Gpatch2,,,,,,,,,Epop,
,Gpatch2l,,,,,,,,,Eprs,
,Gpbp1l1,,,,,,,,,Erc1,
,Gpc5,,,,,,,,,Erc2,
,Gphn,,,,,,,,,Ercc1,
,Gpkow,,,,,,,,,Erdr1,
,Gpm6b,,,,,,,,,Erf,
,Gpn1,,,,,,,,,Ergic1,
,Gpn3,,,,,,,,,Ergic2,
,Gpr107,,,,,,,,,Ergic3,
,Gpr108,,,,,,,,,Erh,
,Gpr137b,,,,,,,,,Eri1,
,Gpr146,,,,,,,,,Erlec1,
,Gpr155,,,,,,,,,Erlin1,
,Gpr180,,,,,,,,,Erlin2,
,Gpr19,,,,,,,,,Erp29,
,Gpr34,,,,,,,,,Errfi1,
,Gpr85,,,,,,,,,Esd,
,Gps2,,,,,,,,,Esf1,
,Gpt2,,,,,,,,,Etf1,
,Gpx1,,,,,,,,,Etl4,
,Gramd3,,,,,,,,,Ets2,
,Gramd4,,,,,,,,,Etv5,
,Grhpr,,,,,,,,,Ewsr1,
,Gria4,,,,,,,,,Exd2,
,Grid2,,,,,,,,,Exoc1,
,Grik2,,,,,,,,,Exoc2,
,Grin2c,,,,,,,,,Exoc4,
,Grip1,,,,,,,,,Exoc5,
,Grip2,,,,,,,,,Exoc7,
,Gripap1,,,,,,,,,Exoc8,
,Grk3,,,,,,,,,Exog,
,Grm3,,,,,,,,,Exosc1,
,Grsf1,,,,,,,,,Exosc10,
,Grtp1,,,,,,,,,Exosc7,
,Gsk3b,,,,,,,,,Extl1,
,Gspt1,,,,,,,,,Extl2,
,Gss,,,,,,,,,Extl3,
,Gsta4,,,,,,,,,Ezh1,
,Gstk1,,,,,,,,,F730043M19Rik,
,Gstm5,,,,,,,,,Faah,
,Gstm7,,,,,,,,,Fabp3,
,Gstz1,,,,,,,,,Fabp3-ps1,
,Gt(ROSA)26Sor,,,,,,,,,Fads3,
,Gtf2e1,,,,,,,,,Faf1,
,Gtf2h1,,,,,,,,,Faf2,
,Gtf2h3,,,,,,,,,Fahd1,
,Gtf2h4,,,,,,,,,Faim,
,Gtf2ird1,,,,,,,,,Fam102a,
,Gtf3c5,,,,,,,,,Fam103a1,
,Gtf3c6,,,,,,,,,Fam104a,
,Guf1,,,,,,,,,Fam105a,
,Gyg,,,,,,,,,Fam110b,
,Gys1,,,,,,,,,Fam117b,
,H13,,,,,,,,,Fam118a,
,H2afy2,,,,,,,,,Fam118b,
,H3f3a,,,,,,,,,Fam120a,
,H3f3b,,,,,,,,,Fam120b,
,Hadh,,,,,,,,,Fam131a,
,Hadha,,,,,,,,,Fam131b,
,Hadhb,,,,,,,,,Fam136a,
,Hapln1,,,,,,,,,Fam149b,
,Hars2,,,,,,,,,Fam155a,
,Hat1,,,,,,,,,Fam160a2,
,Haus2,,,,,,,,,Fam160b1,
,Hbegf,,,,,,,,,Fam162a,
,Hbp1,,,,,,,,,Fam163b,
,Hccs,,,,,,,,,Fam168b,
,Hdac1,,,,,,,,,Fam169a,
,Hdac5,,,,,,,,,Fam171a1,
,Hdac7,,,,,,,,,Fam171a2,
,Hddc3,,,,,,,,,Fam171b,
,Hdgfrp3,,,,,,,,,Fam174a,
,Heatr3,,,,,,,,,Fam174b,
,Heatr5b,,,,,,,,,Fam175b,
,Hecw2,,,,,,,,,Fam178a,
,Heg1,,,,,,,,,Fam179b,
,Hepacam,,,,,,,,,Fam188a,
,Herc2,,,,,,,,,Fam192a,
,Hes5,,,,,,,,,Fam195b,
,Hexdc,,,,,,,,,Fam19a1,
,Hibadh,,,,,,,,,Fam19a2,
,Hibch,,,,,,,,,Fam19a5,
,Hip1,,,,,,,,,Fam207a,
,Hipk2,,,,,,,,,Fam20b,
,Hist1h1c,,,,,,,,,Fam210a,
,Hist1h2al,,,,,,,,,Fam212b,
,Hist1h2bc,,,,,,,,,Fam213b,
,Hist2h2aa2,,,,,,,,,Fam216a,
,Hjurp,,,,,,,,,Fam217b,
,Hltf,,,,,,,,,Fam220a,
,Hmbox1,,,,,,,,,Fam222b,
,Hmg20b,,,,,,,,,Fam234b,
,Hmgb1,,,,,,,,,Fam32a,
,Hnrnpa1,,,,,,,,,Fam3c,
,Hnrnpul1,,,,,,,,,Fam43b,
,Homer2,,,,,,,,,Fam45a,
,Homez,,,,,,,,,Fam49a,
,Hook1,,,,,,,,,Fam53a,
,Hook3,,,,,,,,,Fam53c,
,Hopx,,,,,,,,,Fam58b,
,Hps4,,,,,,,,,Fam65a,
,Hrasls,,,,,,,,,Fam69a,
,Hsd17b10,,,,,,,,,Fam76a,
,Hsd17b11,,,,,,,,,Fam76b,
,Hsdl1,,,,,,,,,Fam78b,
,Hsdl2,,,,,,,,,Fam81a,
,Hsf1,,,,,,,,,Fam84a,
,Hsp90b1,,,,,,,,,Fam8a1,
,Hspa4l,,,,,,,,,Fam91a1,
,Huwe1,,,,,,,,,Fam92a,
,Hypk,,,,,,,,,Fam96b,
,Iah1,,,,,,,,,Fam98b,
,Ibtk,,,,,,,,,Fam98c,
,Ick,,,,,,,,,Fars2,
,Icmt,,,,,,,,,Farsa,
,Id4,,,,,,,,,Farsb,
,Ide,,,,,,,,,Fastk,
,Idh2,,,,,,,,,Fbf1,
,Idh3b,,,,,,,,,Fbrs,
,Ier3,,,,,,,,,Fbxl15,
,Ifitm10,,,,,,,,,Fbxl16,
,Ifnar2,,,,,,,,,Fbxl17,
,Ifngr1,,,,,,,,,Fbxl18,
,Ift140,,,,,,,,,Fbxl19,
,Ift27,,,,,,,,,Fbxl20,
,Ift52,,,,,,,,,Fbxl3,
,Ift74,,,,,,,,,Fbxl5,
,Ift80,,,,,,,,,Fbxo10,
,Ift81,,,,,,,,,Fbxo11,
,Ift88,,,,,,,,,Fbxo18,
,Igbp1,,,,,,,,,Fbxo21,
,Igdcc4,,,,,,,,,Fbxo25,
,Igf1,,,,,,,,,Fbxo28,
,Igf1r,,,,,,,,,Fbxo31,
,Igfbp7,,,,,,,,,Fbxo33,
,Igsf11,,,,,,,,,Fbxo34,
,Igsf9b,,,,,,,,,Fbxo38,
,Ikbkb,,,,,,,,,Fbxo41,
,Ikzf5,,,,,,,,,Fbxo42,
,Il11ra1,,,,,,,,,Fbxo45,
,Il18,,,,,,,,,Fbxo6,
,Il1rap,,,,,,,,,Fbxw11,
,Il1rapl1,,,,,,,,,Fbxw2,
,Il6st,,,,,,,,,Fbxw4,
,Ilvbl,,,,,,,,,Fbxw5,
,Immp1l,,,,,,,,,Fbxw7,
,Imp4,,,,,,,,,Fbxw8,
,Impad1,,,,,,,,,Fcho1,
,Impdh1,,,,,,,,,Fdft1,
,Inafm2,,,,,,,,,Fdps,
,Ing1,,,,,,,,,Fech,
,Ing3,,,,,,,,,Fem1a,
,Inha,,,,,,,,,Fem1b,
,Ino80c,,,,,,,,,Fezf2,
,Ino80d,,,,,,,,,Fgf13,
,Inpp4a,,,,,,,,,Fgf14,
,Inpp5b,,,,,,,,,Fgfr1op2,
,Inpp5e,,,,,,,,,Fhl2,
,Inpp5k,,,,,,,,,Fhod3,
,Inppl1,,,,,,,,,Fibp,
,Insr,,,,,,,,,Fjx1,
,Ints14,,,,,,,,,Fkbp1a,
,Ints6l,,,,,,,,,Fkbp1b,
,Iqcb1,,,,,,,,,Fkbp5,
,Iqgap1,,,,,,,,,Fkrp,
,Irak1,,,,,,,,,Flcn,
,Irf2,,,,,,,,,Flot1,
,Irf3,,,,,,,,,Flot2,
,Irs1,,,,,,,,,Flrt2,
,Islr,,,,,,,,,Fmc1,
,Isoc2a,,,,,,,,,Fmnl1,
,Isy1,,,,,,,,,Fmr1,
,Itch,,,,,,,,,Fn3k,
,Itfg2,,,,,,,,,Fnbp1l,
,Itga6,,,,,,,,,Fndc3a,
,Itgav,,,,,,,,,Fnip1,
,Itgb1,,,,,,,,,Fntb,
,Itgb8,,,,,,,,,Focad,
,Itih5,,,,,,,,,Fopnl,
,Itm2a,,,,,,,,,Fos,
,Itpk1,,,,,,,,,Fosl2,
,Itpkb,,,,,,,,,Foxg1,
,Itpr2,,,,,,,,,Foxj2,
,Itsn1,,,,,,,,,Foxj3,
,Iws1,,,,,,,,,Foxk1,
,Jade1,,,,,,,,,Foxk2,
,Jarid2,,,,,,,,,Foxp1,
,Jmjd1c,,,,,,,,,Foxp4,
,Jmjd8,,,,,,,,,Fpgt,
,Jtb,,,,,,,,,Frmd6,
,Jup,,,,,,,,,Frmpd4,
,Kansl1,,,,,,,,,Frrs1l,
,Kat2b,,,,,,,,,Frs2,
,Kat6a,,,,,,,,,Fry,
,Kat6b,,,,,,,,,Frzb,
,Kazn,,,,,,,,,Fsd1l,
,Kbtbd3,,,,,,,,,Fubp1,
,Kcna1,,,,,,,,,Fuk,
,Kcna6,,,,,,,,,Fuom,
,Kcnip1,,,,,,,,,Furin,
,Kcnj16,,,,,,,,,Fus,
,Kcnj9,,,,,,,,,Fxr2,
,Kcnq1ot1,,,,,,,,,Fxyd7,
,Kctd9,,,,,,,,,Fyn,
